case_id,state,land_category,location_type,tenure_type,land_area_m2,acquisition_area_m2,building_age_years,market_value_myr,statutory_disturbance_myr,relocation_allowance_myr,recommended_compensation_myr
CASE-2026-TR-00050,Wilayah Persekutuan Kuala Lumpur,Agriculture,Rural,Freehold,3015,1397,0,1060000,159000,8000,1227000
CASE-2026-TR-00051,Pahang,Building,Rural,Freehold,1783,491,1,1337000,200600,8000,1545600
CASE-2026-TR-00052,Selangor,Building,Rural,Freehold,2874,2241,19,6792000,1018800,8000,7818800
CASE-2026-TR-00053,Selangor,Agriculture,Suburban,Freehold,9239,1991,33,1621000,243200,8000,1872200
CASE-2026-TR-00054,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Leasehold,2598,893,23,4338000,650700,8000,4996700
CASE-2026-TR-00055,Kedah,Agriculture,Urban,Freehold,10017,4753,26,2935000,440200,8000,3383200
CASE-2026-TR-00056,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,2278,2083,4,10131000,1519600,8000,11658600
CASE-2026-TR-00057,Negeri Sembilan,Building,Urban,Freehold,2056,1287,23,3789000,568400,8000,4365400
CASE-2026-TR-00058,Kedah,Building,Urban,Leasehold,816,585,19,1625000,243800,8000,1876800
CASE-2026-TR-00059,Pulau Pinang,Agriculture,Suburban,Freehold,12160,6717,26,4779000,716800,8000,5503800
CASE-2026-TR-00060,Terengganu,Agriculture,Rural,Freehold,15568,4034,34,1365000,204800,8000,1577800
CASE-2026-TR-00061,Sabah,Building,Urban,Leasehold,514,150,7,573000,86000,8000,667000
CASE-2026-TR-00062,Pahang,Building,Urban,Freehold,2225,587,17,2057000,308600,8000,2373600
CASE-2026-TR-00063,Selangor,Agriculture,Suburban,Freehold,16369,9664,39,6240000,936000,8000,7184000
CASE-2026-TR-00064,Selangor,Agriculture,Suburban,Freehold,19260,8305,32,5572000,835800,8000,6415800
CASE-2026-TR-00065,Terengganu,Building,Urban,Freehold,1310,401,31,1202000,180300,8000,1390300
CASE-2026-TR-00066,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Leasehold,1779,657,2,2474000,371100,8000,2853100
CASE-2026-TR-00067,Kedah,Building,Urban,Freehold,374,286,12,860000,129000,8000,997000
CASE-2026-TR-00068,Kedah,Building,Suburban,Freehold,1051,510,10,1485000,222800,8000,1715800
CASE-2026-TR-00069,Johor,Agriculture,Urban,Freehold,16231,10132,34,7188000,1078200,8000,8274200
CASE-2026-TR-00070,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Freehold,7415,5228,28,4754000,713100,8000,5475100
CASE-2026-TR-00071,Kedah,Building,Rural,Leasehold,2771,1388,25,3039000,455800,8000,3502800
CASE-2026-TR-00072,Sarawak,Building,Suburban,Freehold,1142,471,33,1311000,196600,8000,1515600
CASE-2026-TR-00073,Negeri Sembilan,Building,Suburban,Leasehold,1796,1228,30,3081000,462200,8000,3551200
CASE-2026-TR-00074,Melaka,Agriculture,Suburban,Freehold,6612,5380,32,2459000,368800,8000,2835800
CASE-2026-TR-00075,Sabah,Building,Suburban,Freehold,2244,1203,2,4144000,621600,8000,4773600
CASE-2026-TR-00076,Pulau Pinang,Industry,Rural,Freehold,12111,7973,8,18834000,2825100,8000,21667100
CASE-2026-TR-00077,Kedah,Agriculture,Urban,Malay Reserve,2827,1738,35,902000,135300,8000,1045300
CASE-2026-TR-00078,Johor,Agriculture,Urban,Freehold,5368,4551,22,2901000,435200,8000,3344200
CASE-2026-TR-00079,Selangor,Agriculture,Urban,Freehold,8514,5226,20,4591000,688600,8000,5287600
CASE-2026-TR-00080,Sabah,Building,Urban,Freehold,1775,1586,2,5446000,816900,8000,6270900
CASE-2026-TR-00081,Johor,Agriculture,Rural,Freehold,14312,7855,5,4104000,615600,8000,4727600
CASE-2026-TR-00082,Kelantan,Building,Urban,Freehold,998,920,20,2293000,344000,8000,2645000
CASE-2026-TR-00083,Pulau Pinang,Building,Urban,Freehold,1101,967,32,3615000,542200,8000,4165200
CASE-2026-TR-00084,Pulau Pinang,Building,Urban,Leasehold,343,214,30,770000,115500,8000,893500
CASE-2026-TR-00085,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Freehold,12093,6876,32,6820000,1023000,8000,7851000
CASE-2026-TR-00086,Johor,Agriculture,Urban,Freehold,12682,7023,7,5344000,801600,8000,6153600
CASE-2026-TR-00087,Kelantan,Agriculture,Urban,Freehold,11503,9190,15,4568000,685200,8000,5261200
CASE-2026-TR-00088,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Leasehold,4198,3331,18,2660000,399000,8000,3067000
CASE-2026-TR-00089,Pahang,Agriculture,Suburban,Freehold,16596,7329,29,3807000,571000,8000,4386000
CASE-2026-TR-00090,Pulau Pinang,Building,Rural,Freehold,885,484,17,1522000,228300,8000,1758300
CASE-2026-TR-00091,Kedah,Industry,Rural,Freehold,9633,8480,34,11044000,1656600,8000,12708600
CASE-2026-TR-00092,Pulau Pinang,Building,Suburban,Freehold,1772,575,22,2415000,362200,8000,2785200
CASE-2026-TR-00093,Sabah,Agriculture,Suburban,Leasehold,13664,6738,27,3247000,487000,8000,3742000
CASE-2026-TR-00094,Kedah,Building,Urban,Freehold,178,93,11,300000,45000,8000,353000
CASE-2026-TR-00095,Perak,Industry,Suburban,Freehold,23596,13889,20,28495000,4274200,8000,32777200
CASE-2026-TR-00096,Perak,Agriculture,Urban,Freehold,3240,2246,39,1168000,175200,8000,1351200
CASE-2026-TR-00097,Selangor,Building,Urban,Malay Reserve,2472,1162,17,4569000,685400,8000,5262400
CASE-2026-TR-00098,Terengganu,Building,Suburban,Leasehold,1900,1438,16,3279000,491800,8000,3778800
CASE-2026-TR-00099,Wilayah Persekutuan Labuan,Agriculture,Rural,Freehold,6873,4204,16,1911000,286600,8000,2205600
CASE-2026-TR-00100,Wilayah Persekutuan Kuala Lumpur,Industry,Rural,Freehold,7737,5969,18,15621000,2343200,8000,17972200
CASE-2026-TR-00101,Pulau Pinang,Building,Suburban,Freehold,1344,655,23,2434000,365100,8000,2807100
CASE-2026-TR-00102,Negeri Sembilan,Building,Suburban,Freehold,1599,1381,2,4651000,697600,8000,5356600
CASE-2026-TR-00103,Selangor,Agriculture,Rural,Leasehold,10436,5592,15,3637000,545600,8000,4190600
CASE-2026-TR-00104,Perak,Agriculture,Suburban,Leasehold,4050,2134,29,976000,146400,8000,1130400
CASE-2026-TR-00105,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Leasehold,11155,3935,36,3637000,545600,8000,4190600
CASE-2026-TR-00106,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Malay Reserve,2761,815,8,3896000,584400,8000,4488400
CASE-2026-TR-00107,Kelantan,Agriculture,Urban,Leasehold,12745,9504,5,4631000,694600,8000,5333600
CASE-2026-TR-00108,Pulau Pinang,Agriculture,Suburban,Freehold,16551,13707,34,9152000,1372800,8000,10532800
CASE-2026-TR-00109,Pulau Pinang,Building,Urban,Freehold,2832,964,9,4656000,698400,8000,5362400
CASE-2026-TR-00110,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Leasehold,9291,4282,7,3331000,499600,8000,3838600
CASE-2026-TR-00111,Johor,Industry,Rural,Freehold,6233,3718,32,7973000,1196000,8000,9177000
CASE-2026-TR-00112,Pulau Pinang,Building,Rural,Leasehold,365,294,28,840000,126000,8000,974000
CASE-2026-TR-00113,Selangor,Building,Suburban,Leasehold,2619,1001,5,4182000,627300,8000,4817300
CASE-2026-TR-00114,Selangor,Building,Urban,Freehold,738,446,39,1644000,246600,8000,1898600
CASE-2026-TR-00115,Johor,Agriculture,Urban,Freehold,3007,826,29,662000,99300,8000,769300
CASE-2026-TR-00116,Kedah,Building,Suburban,Freehold,2037,1608,4,4781000,717200,8000,5506200
CASE-2026-TR-00117,Negeri Sembilan,Agriculture,Suburban,Freehold,4353,3887,28,1910000,286500,8000,2204500
CASE-2026-TR-00118,Johor,Agriculture,Rural,Malay Reserve,13801,4295,33,1890000,283500,8000,2181500
CASE-2026-TR-00119,Selangor,Agriculture,Suburban,Freehold,15998,10820,21,8292000,1243800,8000,9543800
CASE-2026-TR-00120,Terengganu,Building,Rural,Freehold,1560,730,38,1346000,201900,8000,1555900
CASE-2026-TR-00121,Pahang,Building,Rural,Leasehold,1757,635,25,1532000,229800,8000,1769800
CASE-2026-TR-00122,Selangor,Agriculture,Suburban,Freehold,10884,9123,2,6524000,978600,8000,7510600
CASE-2026-TR-00123,Pulau Pinang,Agriculture,Urban,Leasehold,7109,3043,1,2472000,370800,8000,2850800
CASE-2026-TR-00124,Johor,Building,Urban,Leasehold,756,571,11,2140000,321000,8000,2469000
CASE-2026-TR-00125,Melaka,Agriculture,Rural,Leasehold,10783,5797,27,2435000,365200,8000,2808200
CASE-2026-TR-00126,Negeri Sembilan,Agriculture,Urban,Leasehold,19301,8211,37,4890000,733500,8000,5631500
CASE-2026-TR-00127,Kedah,Building,Urban,Malay Reserve,2136,1874,9,5067000,760000,8000,5835000
CASE-2026-TR-00128,Terengganu,Building,Suburban,Leasehold,1491,1011,7,2896000,434400,8000,3338400
CASE-2026-TR-00129,Perlis,Agriculture,Urban,Freehold,6109,1570,11,916000,137400,8000,1061400
CASE-2026-TR-00130,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Freehold,13894,6996,31,6852000,1027800,8000,7887800
CASE-2026-TR-00131,Wilayah Persekutuan Putrajaya,Building,Rural,Freehold,1887,1004,29,2812000,421800,8000,3241800
CASE-2026-TR-00132,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,665,508,20,2170000,325500,8000,2503500
CASE-2026-TR-00133,Johor,Building,Urban,Leasehold,2532,2229,6,8130000,1219500,8000,9357500
CASE-2026-TR-00134,Pahang,Building,Suburban,Freehold,943,708,30,1731000,259600,8000,1998600
CASE-2026-TR-00135,Melaka,Building,Rural,Leasehold,653,428,20,962000,144300,8000,1114300
CASE-2026-TR-00136,Melaka,Agriculture,Suburban,Freehold,14588,5338,30,2796000,419400,8000,3223400
CASE-2026-TR-00137,Negeri Sembilan,Building,Rural,Freehold,1949,1329,1,3399000,509800,8000,3916800
CASE-2026-TR-00138,Negeri Sembilan,Building,Suburban,Leasehold,1805,1469,28,3633000,545000,8000,4186000
CASE-2026-TR-00139,Wilayah Persekutuan Labuan,Agriculture,Urban,Freehold,2281,519,34,330000,49500,8000,387500
CASE-2026-TR-00140,Johor,Industry,Urban,Freehold,2239,1634,34,4285000,642800,8000,4935800
CASE-2026-TR-00141,Pulau Pinang,Building,Urban,Malay Reserve,2348,636,16,2648000,397200,8000,3053200
CASE-2026-TR-00142,Selangor,Agriculture,Urban,Leasehold,14373,5443,0,5609000,841400,8000,6458400
CASE-2026-TR-00143,Sabah,Building,Rural,Leasehold,737,242,25,559000,83800,8000,650800
CASE-2026-TR-00144,Pahang,Agriculture,Suburban,Freehold,5291,1648,5,946000,141900,8000,1095900
CASE-2026-TR-00145,Johor,Building,Suburban,Malay Reserve,1817,1303,6,4461000,669200,8000,5138200
CASE-2026-TR-00146,Pahang,Building,Urban,Leasehold,2922,1394,12,4149000,622400,8000,4779400
CASE-2026-TR-00147,Pulau Pinang,Building,Suburban,Freehold,2299,692,35,2690000,403500,8000,3101500
CASE-2026-TR-00148,Pulau Pinang,Building,Rural,Freehold,2097,561,26,1627000,244000,8000,1879000
CASE-2026-TR-00149,Perak,Building,Urban,Freehold,2695,2023,21,5546000,831900,8000,6385900
CASE-2026-TR-00150,Melaka,Agriculture,Rural,Freehold,15076,8072,18,3524000,528600,8000,4060600
CASE-2026-TR-00151,Melaka,Building,Rural,Freehold,255,172,18,507000,76000,8000,591000
CASE-2026-TR-00152,Johor,Building,Rural,Freehold,2356,1758,36,4068000,610200,8000,4686200
CASE-2026-TR-00153,Pulau Pinang,Agriculture,Urban,Leasehold,3300,2702,8,1939000,290800,8000,2237800
CASE-2026-TR-00154,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Leasehold,1008,802,24,2902000,435300,8000,3345300
CASE-2026-TR-00155,Sarawak,Building,Suburban,Freehold,2884,1195,34,3117000,467600,8000,3592600
CASE-2026-TR-00156,Kelantan,Building,Urban,Malay Reserve,1118,585,25,1485000,222800,8000,1715800
CASE-2026-TR-00157,Perak,Building,Suburban,Leasehold,1148,561,19,1448000,217200,8000,1673200
CASE-2026-TR-00158,Melaka,Building,Suburban,Freehold,222,105,6,319000,47800,8000,374800
CASE-2026-TR-00159,Selangor,Building,Urban,Freehold,1885,1330,3,5281000,792200,8000,6081200
CASE-2026-TR-00160,Wilayah Persekutuan Putrajaya,Agriculture,Suburban,Malay Reserve,2661,1579,35,958000,143700,8000,1109700
CASE-2026-TR-00161,Pahang,Building,Suburban,Leasehold,806,371,8,1096000,164400,8000,1268400
CASE-2026-TR-00162,Kedah,Industry,Rural,Freehold,9555,4018,30,6695000,1004200,8000,7707200
CASE-2026-TR-00163,Johor,Building,Rural,Freehold,2935,863,36,2151000,322600,8000,2481600
CASE-2026-TR-00164,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Leasehold,7299,2888,25,2381000,357200,8000,2746200
CASE-2026-TR-00165,Wilayah Persekutuan Putrajaya,Agriculture,Rural,Leasehold,2560,720,17,445000,66800,8000,519800
CASE-2026-TR-00166,Kedah,Building,Urban,Freehold,548,291,2,975000,146200,8000,1129200
CASE-2026-TR-00167,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,1462,1309,14,5620000,843000,8000,6471000
CASE-2026-TR-00168,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Freehold,2679,797,34,2542000,381300,8000,2931300
CASE-2026-TR-00169,Wilayah Persekutuan Kuala Lumpur,Agriculture,Rural,Freehold,4494,2914,28,1687000,253000,8000,1948000
CASE-2026-TR-00170,Pulau Pinang,Agriculture,Urban,Leasehold,5850,4258,30,3129000,469400,8000,3606400
CASE-2026-TR-00171,Johor,Agriculture,Urban,Freehold,10800,6011,38,4032000,604800,8000,4644800
CASE-2026-TR-00172,Selangor,Building,Rural,Freehold,1658,1443,35,4028000,604200,8000,4640200
CASE-2026-TR-00173,Selangor,Building,Urban,Leasehold,2602,685,15,3113000,467000,8000,3588000
CASE-2026-TR-00174,Negeri Sembilan,Building,Rural,Freehold,2535,748,32,1721000,258200,8000,1987200
CASE-2026-TR-00175,Terengganu,Building,Urban,Freehold,1881,1608,18,3974000,596100,8000,4578100
CASE-2026-TR-00176,Selangor,Industry,Rural,Leasehold,1016,722,1,1635000,245200,8000,1888200
CASE-2026-TR-00177,Melaka,Building,Suburban,Leasehold,908,646,22,1771000,265600,8000,2044600
CASE-2026-TR-00178,Kedah,Building,Suburban,Freehold,2298,651,8,2196000,329400,8000,2533400
CASE-2026-TR-00179,Melaka,Building,Urban,Freehold,1564,1249,5,4591000,688600,8000,5287600
CASE-2026-TR-00180,Johor,Building,Suburban,Leasehold,509,349,2,1012000,151800,8000,1171800
CASE-2026-TR-00181,Johor,Building,Rural,Freehold,2964,2750,21,6683000,1002400,8000,7693400
CASE-2026-TR-00182,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,1399,475,15,2085000,312800,8000,2405800
CASE-2026-TR-00183,Pulau Pinang,Agriculture,Urban,Leasehold,14275,5260,20,4398000,659700,8000,5065700
CASE-2026-TR-00184,Terengganu,Building,Urban,Malay Reserve,2346,1826,21,4857000,728600,8000,5593600
CASE-2026-TR-00185,Johor,Building,Urban,Leasehold,1518,1375,29,4105000,615800,8000,4728800
CASE-2026-TR-00186,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Freehold,12517,7254,32,6041000,906200,8000,6955200
CASE-2026-TR-00187,Terengganu,Building,Suburban,Leasehold,1284,465,16,1335000,200200,8000,1543200
CASE-2026-TR-00188,Kelantan,Building,Rural,Leasehold,2670,1704,39,2803000,420400,8000,3231400
CASE-2026-TR-00189,Pulau Pinang,Building,Rural,Leasehold,2406,620,34,1852000,277800,8000,2137800
CASE-2026-TR-00190,Perak,Agriculture,Suburban,Leasehold,11596,7541,9,3236000,485400,8000,3729400
CASE-2026-TR-00191,Selangor,Building,Urban,Freehold,1945,733,20,3701000,555200,8000,4264200
CASE-2026-TR-00192,Johor,Building,Urban,Leasehold,2963,1750,30,6080000,912000,8000,7000000
CASE-2026-TR-00193,Johor,Agriculture,Urban,Leasehold,2541,2254,30,1342000,201300,8000,1551300
CASE-2026-TR-00194,Selangor,Agriculture,Urban,Leasehold,19520,12078,10,9506000,1425900,8000,10939900
CASE-2026-TR-00195,Pulau Pinang,Building,Urban,Leasehold,1732,1451,11,5761000,864200,8000,6633200
CASE-2026-TR-00196,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,2035,1693,6,7962000,1194300,8000,9164300
CASE-2026-TR-00197,Terengganu,Building,Urban,Leasehold,853,501,6,1338000,200700,8000,1546700
CASE-2026-TR-00198,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Freehold,3431,823,29,703000,105400,8000,816400
CASE-2026-TR-00199,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,354,154,9,723000,108400,8000,839400
CASE-2026-TR-00200,Perak,Building,Urban,Malay Reserve,2151,1640,11,4475000,671200,8000,5154200
CASE-2026-TR-00201,Selangor,Agriculture,Rural,Freehold,3753,1252,18,829000,124400,8000,961400
CASE-2026-TR-00202,Selangor,Industry,Suburban,Freehold,1572,1339,22,3601000,540200,8000,4149200
CASE-2026-TR-00203,Perak,Building,Urban,Leasehold,1230,883,34,2291000,343600,8000,2642600
CASE-2026-TR-00204,Selangor,Agriculture,Urban,Freehold,18994,4489,31,4126000,618900,8000,4752900
CASE-2026-TR-00205,Pulau Pinang,Building,Urban,Freehold,1899,689,14,3151000,472600,8000,3631600
CASE-2026-TR-00206,Pulau Pinang,Agriculture,Suburban,Freehold,17795,9185,18,6325000,948800,8000,7281800
CASE-2026-TR-00207,Melaka,Building,Urban,Freehold,2117,1858,18,6433000,965000,8000,7406000
CASE-2026-TR-00208,Terengganu,Agriculture,Rural,Freehold,6135,3404,27,1246000,186900,8000,1440900
CASE-2026-TR-00209,Kedah,Building,Suburban,Leasehold,1931,1640,9,4454000,668100,8000,5130100
CASE-2026-TR-00210,Wilayah Persekutuan Labuan,Building,Suburban,Leasehold,1433,1358,31,3022000,453300,8000,3483300
CASE-2026-TR-00211,Johor,Agriculture,Rural,Freehold,2226,737,28,398000,59700,8000,465700
CASE-2026-TR-00212,Wilayah Persekutuan Labuan,Building,Rural,Leasehold,2654,1328,34,2948000,442200,8000,3398200
CASE-2026-TR-00213,Johor,Building,Urban,Leasehold,1848,645,18,2560000,384000,8000,2952000
CASE-2026-TR-00214,Terengganu,Industry,Suburban,Freehold,10122,2750,16,5512000,826800,8000,6346800
CASE-2026-TR-00215,Wilayah Persekutuan Putrajaya,Agriculture,Urban,Freehold,11794,8089,24,6390000,958500,8000,7356500
CASE-2026-TR-00216,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Leasehold,1937,1385,18,5865000,879800,8000,6752800
CASE-2026-TR-00217,Kelantan,Agriculture,Urban,Freehold,15970,14113,13,6391000,958600,8000,7357600
CASE-2026-TR-00218,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,1599,1182,28,5647000,847000,8000,6502000
CASE-2026-TR-00219,Selangor,Building,Urban,Freehold,547,220,36,924000,138600,8000,1070600
CASE-2026-TR-00220,Melaka,Agriculture,Suburban,Leasehold,2040,476,3,284000,42600,8000,334600
CASE-2026-TR-00221,Wilayah Persekutuan Labuan,Building,Suburban,Freehold,1235,995,30,2653000,398000,8000,3059000
CASE-2026-TR-00222,Selangor,Agriculture,Urban,Malay Reserve,9851,2762,8,2730000,409500,8000,3147500
CASE-2026-TR-00223,Perak,Building,Urban,Leasehold,2756,954,19,3148000,472200,8000,3628200
CASE-2026-TR-00224,Pulau Pinang,Agriculture,Suburban,Freehold,19862,5803,3,4602000,690300,8000,5300300
CASE-2026-TR-00225,Sabah,Building,Suburban,Freehold,1260,673,22,1825000,273800,8000,2106800
CASE-2026-TR-00226,Kedah,Industry,Urban,Leasehold,11332,6584,14,13658000,2048700,8000,15714700
CASE-2026-TR-00227,Johor,Agriculture,Urban,Freehold,6650,5258,32,4037000,605600,8000,4650600
CASE-2026-TR-00228,Melaka,Agriculture,Rural,Freehold,15860,6331,16,3041000,456200,8000,3505200
CASE-2026-TR-00229,Pulau Pinang,Industry,Suburban,Freehold,18740,16877,1,50921000,7638200,8000,58567200
CASE-2026-TR-00230,Melaka,Agriculture,Suburban,Leasehold,2987,2314,7,1140000,171000,8000,1319000
CASE-2026-TR-00231,Johor,Agriculture,Rural,Freehold,7443,3488,35,1662000,249300,8000,1919300
CASE-2026-TR-00232,Johor,Agriculture,Urban,Freehold,7889,5269,9,4033000,605000,8000,4646000
CASE-2026-TR-00233,Terengganu,Agriculture,Suburban,Freehold,13777,7866,2,3602000,540300,8000,4150300
CASE-2026-TR-00234,Melaka,Building,Suburban,Freehold,1530,514,31,1551000,232600,8000,1791600
CASE-2026-TR-00235,Terengganu,Agriculture,Suburban,Freehold,4120,1707,29,855000,128200,8000,991200
CASE-2026-TR-00236,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Freehold,17007,7820,35,6255000,938200,8000,7201200
CASE-2026-TR-00237,Selangor,Building,Urban,Freehold,2756,986,29,4684000,702600,8000,5394600
CASE-2026-TR-00238,Johor,Building,Rural,Freehold,1613,1518,1,4141000,621200,8000,4770200
CASE-2026-TR-00239,Kedah,Agriculture,Urban,Leasehold,6458,3045,5,1759000,263800,8000,2030800
CASE-2026-TR-00240,Johor,Agriculture,Rural,Freehold,2785,2168,28,972000,145800,8000,1125800
CASE-2026-TR-00241,Negeri Sembilan,Agriculture,Suburban,Freehold,4352,2491,21,1383000,207400,8000,1598400
CASE-2026-TR-00242,Selangor,Building,Urban,Leasehold,532,233,11,1019000,152800,8000,1179800
CASE-2026-TR-00243,Perak,Building,Suburban,Leasehold,2632,2099,35,5041000,756200,8000,5805200
