case_id,state,land_category,location_type,tenure_type,land_area_m2,acquisition_area_m2,building_age_years,market_value_myr,statutory_disturbance_myr,relocation_allowance_myr,recommended_compensation_myr
CASE-2026-NW-00022,Wilayah Persekutuan Kuala Lumpur,Agriculture,Rural,Leasehold,19044,6647,37,4749000,712400,8000,5469400
CASE-2026-NW-00023,Negeri Sembilan,Building,Urban,Leasehold,2633,1574,31,5231000,784600,8000,6023600
CASE-2026-NW-00024,Perlis,Agriculture,Rural,Freehold,19842,15658,16,6423000,963400,8000,7394400
CASE-2026-NW-00025,Selangor,Agriculture,Urban,Leasehold,5666,4064,13,3714000,557100,8000,4279100
CASE-2026-NW-00026,Terengganu,Building,Rural,Freehold,2198,928,2,2500000,375000,8000,2883000
CASE-2026-NW-00027,Selangor,Building,Urban,Leasehold,2233,1379,15,6340000,951000,8000,7299000
CASE-2026-NW-00028,Terengganu,Agriculture,Rural,Leasehold,12898,7903,32,2873000,431000,8000,3312000
CASE-2026-NW-00029,Johor,Industry,Urban,Freehold,19411,6354,3,18070000,2710500,8000,20788500
CASE-2026-NW-00030,Pulau Pinang,Building,Rural,Freehold,2546,2082,33,5044000,756600,8000,5808600
CASE-2026-NW-00031,Perak,Agriculture,Urban,Freehold,14779,9449,28,5158000,773700,8000,5939700
CASE-2026-NW-00032,Selangor,Agriculture,Suburban,Freehold,6110,1865,7,1428000,214200,8000,1650200
CASE-2026-NW-00033,Selangor,Building,Urban,Leasehold,2976,896,35,3709000,556400,8000,4273400
CASE-2026-NW-00034,Pulau Pinang,Building,Suburban,Freehold,571,361,33,1297000,194600,8000,1499600
CASE-2026-NW-00035,Pahang,Building,Urban,Malay Reserve,450,283,15,812000,121800,8000,941800
CASE-2026-NW-00036,Melaka,Building,Rural,Freehold,999,354,6,1086000,162900,8000,1256900
CASE-2026-NW-00037,Wilayah Persekutuan Putrajaya,Agriculture,Urban,Leasehold,13643,9456,11,7793000,1169000,8000,8970000
CASE-2026-NW-00038,Kedah,Building,Urban,Malay Reserve,1207,531,7,1641000,246200,8000,1895200
CASE-2026-NW-00039,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,2619,2119,23,7989000,1198400,8000,9195400
CASE-2026-NW-00040,Pulau Pinang,Building,Urban,Freehold,952,281,33,1281000,192200,8000,1481200
CASE-2026-NW-00041,Perak,Agriculture,Suburban,Leasehold,10792,6450,23,3151000,472600,8000,3631600
CASE-2026-NW-00042,Pulau Pinang,Building,Suburban,Freehold,1183,538,28,2021000,303200,8000,2332200
CASE-2026-NW-00043,Kedah,Agriculture,Suburban,Leasehold,14224,10297,8,4474000,671100,8000,5153100
CASE-2026-NW-00044,Johor,Agriculture,Suburban,Freehold,16182,8390,38,4967000,745000,8000,5720000
CASE-2026-NW-00045,Pulau Pinang,Building,Suburban,Freehold,233,62,12,288000,43200,8000,339200
CASE-2026-NW-00046,Kedah,Agriculture,Urban,Freehold,19725,5346,2,3560000,534000,8000,4102000
CASE-2026-NW-00047,Selangor,Building,Suburban,Freehold,477,417,4,1549000,232400,8000,1789400
CASE-2026-NW-00048,Pulau Pinang,Agriculture,Urban,Freehold,8502,2898,35,2274000,341100,8000,2623100
CASE-2026-NW-00049,Johor,Building,Urban,Freehold,674,330,21,1216000,182400,8000,1406400
CASE-2026-NW-00050,Pulau Pinang,Agriculture,Suburban,Freehold,6351,4249,25,2867000,430000,8000,3305000
CASE-2026-NW-00051,Perak,Industry,Urban,Freehold,7523,5504,17,13821000,2073200,8000,15902200
CASE-2026-NW-00052,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,2882,1284,32,5148000,772200,8000,5928200
CASE-2026-NW-00053,Pulau Pinang,Building,Urban,Freehold,1998,1211,13,5035000,755200,8000,5798200
CASE-2026-NW-00054,Terengganu,Agriculture,Suburban,Leasehold,11805,6906,36,2954000,443100,8000,3405100
CASE-2026-NW-00055,Negeri Sembilan,Industry,Suburban,Leasehold,12090,4075,29,8505000,1275800,8000,9788800
CASE-2026-NW-00056,Johor,Building,Urban,Freehold,1408,1093,26,3749000,562400,8000,4319400
CASE-2026-NW-00057,Melaka,Building,Suburban,Leasehold,1931,850,1,2553000,383000,8000,2944000
CASE-2026-NW-00058,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Freehold,909,529,26,1951000,292600,8000,2251600
CASE-2026-NW-00059,Perak,Building,Rural,Freehold,426,393,4,927000,139000,8000,1074000
CASE-2026-NW-00060,Perak,Building,Urban,Leasehold,839,299,9,1075000,161200,8000,1244200
CASE-2026-NW-00061,Perak,Agriculture,Rural,Leasehold,14581,10376,39,3277000,491600,8000,3776600
CASE-2026-NW-00062,Selangor,Building,Suburban,Leasehold,1455,1158,30,3551000,532600,8000,4091600
CASE-2026-NW-00063,Pahang,Building,Rural,Freehold,250,133,18,320000,48000,8000,376000
CASE-2026-NW-00064,Selangor,Building,Suburban,Leasehold,2298,1859,5,6719000,1007800,8000,7734800
CASE-2026-NW-00065,Pulau Pinang,Building,Urban,Leasehold,1926,1289,5,5810000,871500,8000,6689500
CASE-2026-NW-00066,Pulau Pinang,Industry,Suburban,Leasehold,8851,3005,34,7432000,1114800,8000,8554800
CASE-2026-NW-00067,Johor,Building,Suburban,Malay Reserve,1538,1373,12,4198000,629700,8000,4835700
CASE-2026-NW-00068,Melaka,Agriculture,Rural,Freehold,3968,2078,23,994000,149100,8000,1151100
CASE-2026-NW-00069,Terengganu,Building,Urban,Malay Reserve,1318,1162,34,2414000,362100,8000,2784100
CASE-2026-NW-00070,Selangor,Building,Suburban,Malay Reserve,1513,888,1,3588000,538200,8000,4134200
CASE-2026-NW-00071,Johor,Building,Suburban,Leasehold,1614,1129,16,3315000,497200,8000,3820200
CASE-2026-NW-00072,Johor,Building,Urban,Freehold,356,110,15,470000,70500,8000,548500
CASE-2026-NW-00073,Selangor,Industry,Suburban,Leasehold,7071,5699,2,16273000,2441000,8000,18722000
CASE-2026-NW-00074,Selangor,Building,Urban,Freehold,2292,1676,38,6901000,1035200,8000,7944200
CASE-2026-NW-00075,Negeri Sembilan,Agriculture,Urban,Leasehold,17593,5016,2,3793000,569000,8000,4370000
CASE-2026-NW-00076,Johor,Agriculture,Rural,Freehold,5544,3877,18,1939000,290800,8000,2237800
CASE-2026-NW-00077,Melaka,Building,Urban,Freehold,2348,1036,9,3761000,564200,8000,4333200
CASE-2026-NW-00078,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Malay Reserve,1352,1140,9,3502000,525300,8000,4035300
CASE-2026-NW-00079,Negeri Sembilan,Building,Suburban,Leasehold,1190,780,31,2141000,321200,8000,2470200
CASE-2026-NW-00080,Melaka,Building,Suburban,Leasehold,1141,760,23,2191000,328600,8000,2527600
CASE-2026-NW-00081,Melaka,Building,Suburban,Freehold,2418,769,13,2639000,395800,8000,3042800
CASE-2026-NW-00082,Negeri Sembilan,Agriculture,Urban,Leasehold,19859,8458,34,5087000,763000,8000,5858000
CASE-2026-NW-00083,Johor,Agriculture,Suburban,Leasehold,7769,1626,10,1210000,181500,8000,1399500
CASE-2026-NW-00084,Johor,Agriculture,Urban,Freehold,6454,3358,30,2505000,375800,8000,2888800
CASE-2026-NW-00085,Selangor,Building,Suburban,Leasehold,1623,576,26,2023000,303400,8000,2334400
CASE-2026-NW-00086,Melaka,Agriculture,Suburban,Leasehold,10274,6581,13,3476000,521400,8000,4005400
CASE-2026-NW-00087,Pulau Pinang,Agriculture,Suburban,Leasehold,7436,6253,24,3549000,532400,8000,4089400
CASE-2026-NW-00088,Melaka,Building,Suburban,Freehold,286,77,18,254000,38100,8000,300100
CASE-2026-NW-00089,Selangor,Building,Suburban,Leasehold,1555,479,21,1710000,256500,8000,1974500
CASE-2026-NW-00090,Perak,Building,Suburban,Freehold,272,162,21,379000,56800,8000,443800
CASE-2026-NW-00091,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Malay Reserve,1126,635,10,2947000,442000,8000,3397000
CASE-2026-NW-00092,Selangor,Agriculture,Suburban,Freehold,9480,2060,8,1865000,279800,8000,2152800
CASE-2026-NW-00093,Johor,Industry,Suburban,Freehold,23828,17918,15,44860000,6729000,8000,51597000
CASE-2026-NW-00094,Perak,Industry,Rural,Leasehold,20936,19223,29,27782000,4167300,8000,31957300
CASE-2026-NW-00095,Pahang,Building,Suburban,Leasehold,1731,679,15,1795000,269200,8000,2072200
CASE-2026-NW-00096,Pahang,Building,Urban,Leasehold,1610,1129,5,3276000,491400,8000,3775400
CASE-2026-NW-00097,Pulau Pinang,Building,Suburban,Malay Reserve,1852,1502,34,4490000,673500,8000,5171500
CASE-2026-NW-00098,Johor,Industry,Urban,Leasehold,4400,2681,31,6556000,983400,8000,7547400
CASE-2026-NW-00099,Pahang,Agriculture,Rural,Freehold,18067,11242,6,5031000,754600,8000,5793600
CASE-2026-NW-00100,Pulau Pinang,Building,Rural,Freehold,2276,1399,20,4057000,608600,8000,4673600
CASE-2026-NW-00101,Melaka,Industry,Urban,Freehold,2620,1191,15,3203000,480400,8000,3691400
CASE-2026-NW-00102,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,783,628,33,2435000,365200,8000,2808200
CASE-2026-NW-00103,Terengganu,Building,Suburban,Freehold,2092,1844,29,3928000,589200,8000,4525200
CASE-2026-NW-00104,Melaka,Agriculture,Suburban,Freehold,10003,3347,36,1860000,279000,8000,2147000
CASE-2026-NW-00105,Selangor,Building,Suburban,Malay Reserve,2184,713,29,2461000,369200,8000,2838200
CASE-2026-NW-00106,Selangor,Agriculture,Urban,Freehold,2045,1791,11,1343000,201400,8000,1552400
CASE-2026-NW-00107,Perak,Building,Suburban,Freehold,1269,855,9,2157000,323600,8000,2488600
CASE-2026-NW-00108,Pulau Pinang,Building,Urban,Freehold,1190,936,11,3999000,599800,8000,4606800
CASE-2026-NW-00109,Selangor,Agriculture,Urban,Freehold,14355,8033,13,7557000,1133600,8000,8698600
CASE-2026-NW-00110,Melaka,Building,Suburban,Freehold,411,205,38,579000,86800,8000,673800
CASE-2026-NW-00111,Selangor,Agriculture,Rural,Malay Reserve,13418,3784,20,2141000,321200,8000,2470200
CASE-2026-NW-00112,Johor,Industry,Rural,Freehold,17545,14784,9,31513000,4727000,8000,36248000
CASE-2026-NW-00113,Selangor,Industry,Urban,Leasehold,14286,9684,27,26760000,4014000,8000,30782000
CASE-2026-NW-00114,Selangor,Building,Urban,Freehold,349,209,38,919000,137800,8000,1064800
CASE-2026-NW-00115,Johor,Industry,Suburban,Leasehold,7855,2758,3,6901000,1035200,8000,7944200
CASE-2026-NW-00116,Wilayah Persekutuan Putrajaya,Industry,Urban,Leasehold,1988,1438,7,4382000,657300,8000,5047300
CASE-2026-NW-00117,Pulau Pinang,Building,Urban,Freehold,456,169,35,741000,111200,8000,860200
CASE-2026-NW-00118,Kelantan,Agriculture,Suburban,Freehold,3729,2065,6,925000,138800,8000,1071800
CASE-2026-NW-00119,Sarawak,Agriculture,Urban,Leasehold,13999,7706,5,4387000,658000,8000,5053000
CASE-2026-NW-00120,Johor,Agriculture,Urban,Freehold,6233,2678,26,1997000,299600,8000,2304600
CASE-2026-NW-00121,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Leasehold,406,297,33,794000,119100,8000,921100
CASE-2026-NW-00122,Johor,Building,Urban,Leasehold,1778,1101,10,4587000,688000,8000,5283000
CASE-2026-NW-00123,Johor,Agriculture,Urban,Leasehold,5930,2478,1,1656000,248400,8000,1912400
CASE-2026-NW-00124,Pahang,Building,Suburban,Leasehold,418,384,5,1165000,174800,8000,1347800
CASE-2026-NW-00125,Negeri Sembilan,Agriculture,Suburban,Freehold,12869,8094,6,4054000,608100,8000,4670100
CASE-2026-NW-00126,Pulau Pinang,Agriculture,Urban,Freehold,9886,3606,22,3019000,452800,8000,3479800
CASE-2026-NW-00127,Selangor,Agriculture,Suburban,Freehold,5756,3595,4,3026000,453900,8000,3487900
CASE-2026-NW-00128,Selangor,Agriculture,Suburban,Freehold,14645,3328,30,2700000,405000,8000,3113000
CASE-2026-NW-00129,Selangor,Building,Rural,Freehold,2051,659,11,2269000,340400,8000,2617400
CASE-2026-NW-00130,Sabah,Building,Suburban,Freehold,1687,969,38,2558000,383700,8000,2949700
CASE-2026-NW-00131,Johor,Building,Suburban,Freehold,1774,1104,16,3444000,516600,8000,3968600
CASE-2026-NW-00132,Melaka,Agriculture,Suburban,Leasehold,8826,4963,10,2757000,413600,8000,3178600
CASE-2026-NW-00133,Melaka,Agriculture,Urban,Leasehold,6837,5125,17,2694000,404100,8000,3106100
CASE-2026-NW-00134,Selangor,Industry,Suburban,Leasehold,12757,8890,34,20645000,3096800,8000,23749800
CASE-2026-NW-00135,Selangor,Agriculture,Urban,Freehold,17518,3602,6,3419000,512800,8000,3939800
CASE-2026-NW-00136,Selangor,Building,Suburban,Freehold,1893,547,39,2102000,315300,8000,2425300
CASE-2026-NW-00137,Perak,Building,Rural,Leasehold,2872,1116,6,3248000,487200,8000,3743200
CASE-2026-NW-00138,Johor,Agriculture,Urban,Freehold,4805,3320,4,2147000,322000,8000,2477000
CASE-2026-NW-00139,Pulau Pinang,Agriculture,Urban,Freehold,14646,5362,35,4191000,628600,8000,4827600
CASE-2026-NW-00140,Johor,Industry,Rural,Leasehold,10278,6769,27,12801000,1920200,8000,14729200
CASE-2026-NW-00141,Melaka,Building,Suburban,Leasehold,1049,407,23,1268000,190200,8000,1466200
CASE-2026-NW-00142,Perak,Building,Suburban,Leasehold,477,137,9,369000,55400,8000,432400
CASE-2026-NW-00143,Selangor,Industry,Urban,Freehold,1924,570,32,1746000,261900,8000,2015900
CASE-2026-NW-00144,Selangor,Agriculture,Urban,Freehold,13461,8519,24,7094000,1064100,8000,8166100
CASE-2026-NW-00145,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Freehold,1236,797,24,2600000,390000,8000,2998000
CASE-2026-NW-00146,Kedah,Agriculture,Urban,Freehold,17596,11560,29,6338000,950700,8000,7296700
CASE-2026-NW-00147,Johor,Building,Urban,Freehold,201,65,27,230000,34500,8000,272500
CASE-2026-NW-00148,Pulau Pinang,Building,Rural,Freehold,386,225,23,646000,96900,8000,750900
CASE-2026-NW-00149,Kedah,Building,Urban,Malay Reserve,2148,1697,2,5067000,760000,8000,5835000
CASE-2026-NW-00150,Kedah,Building,Urban,Freehold,568,262,25,744000,111600,8000,863600
CASE-2026-NW-00151,Perak,Building,Rural,Freehold,2030,1790,39,2877000,431600,8000,3316600
CASE-2026-NW-00152,Perak,Agriculture,Urban,Leasehold,12107,2849,5,1714000,257100,8000,1979100
CASE-2026-NW-00153,Wilayah Persekutuan Labuan,Building,Rural,Freehold,2110,946,23,2524000,378600,8000,2910600
CASE-2026-NW-00154,Pahang,Building,Suburban,Leasehold,533,138,24,386000,57900,8000,451900
CASE-2026-NW-00155,Selangor,Industry,Suburban,Leasehold,15582,9144,11,27188000,4078200,8000,31274200
CASE-2026-NW-00156,Wilayah Persekutuan Kuala Lumpur,Industry,Urban,Freehold,21625,12539,10,46531000,6979600,8000,53518600
CASE-2026-NW-00157,Pulau Pinang,Agriculture,Urban,Freehold,17223,10003,0,8606000,1290900,8000,9904900
CASE-2026-NW-00158,Pahang,Building,Urban,Freehold,2689,823,30,2261000,339200,8000,2608200
CASE-2026-NW-00159,Selangor,Agriculture,Suburban,Freehold,18365,14147,1,10741000,1611200,8000,12360200
CASE-2026-NW-00160,Selangor,Agriculture,Urban,Freehold,10170,5915,9,5635000,845200,8000,6488200
CASE-2026-NW-00161,Pahang,Building,Suburban,Freehold,2395,1696,25,4149000,622400,8000,4779400
CASE-2026-NW-00162,Melaka,Agriculture,Urban,Freehold,16881,11299,28,7093000,1064000,8000,8165000
CASE-2026-NW-00163,Negeri Sembilan,Agriculture,Urban,Leasehold,18764,4357,32,2861000,429200,8000,3298200
CASE-2026-NW-00164,Perak,Building,Suburban,Leasehold,2644,1276,16,3338000,500700,8000,3846700
CASE-2026-NW-00165,Perak,Building,Urban,Freehold,1223,1154,17,3049000,457400,8000,3514400
CASE-2026-NW-00166,Selangor,Building,Suburban,Leasehold,896,709,32,2454000,368100,8000,2830100
CASE-2026-NW-00167,Terengganu,Agriculture,Urban,Leasehold,11062,6057,18,3015000,452200,8000,3475200
CASE-2026-NW-00168,Selangor,Agriculture,Urban,Leasehold,18964,11563,22,9210000,1381500,8000,10599500
CASE-2026-NW-00169,Sarawak,Building,Suburban,Freehold,1671,1574,22,4269000,640400,8000,4917400
CASE-2026-NW-00170,Melaka,Building,Rural,Freehold,2406,636,22,1755000,263200,8000,2026200
CASE-2026-NW-00171,Selangor,Agriculture,Urban,Freehold,5346,2236,38,1831000,274600,8000,2113600
CASE-2026-NW-00172,Selangor,Agriculture,Suburban,Freehold,13244,6812,35,4873000,731000,8000,5612000
CASE-2026-NW-00173,Selangor,Agriculture,Urban,Freehold,14510,6642,26,5560000,834000,8000,6402000
CASE-2026-NW-00174,Sabah,Building,Suburban,Freehold,2109,1962,39,4891000,733600,8000,5632600
CASE-2026-NW-00175,Johor,Building,Urban,Freehold,1960,1472,31,5048000,757200,8000,5813200
CASE-2026-NW-00176,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Leasehold,17039,8284,9,8035000,1205200,8000,9248200
CASE-2026-NW-00177,Melaka,Agriculture,Suburban,Malay Reserve,5798,3203,9,1888000,283200,8000,2179200
CASE-2026-NW-00178,Kedah,Building,Rural,Leasehold,1883,1138,29,2318000,347700,8000,2673700
CASE-2026-NW-00179,Johor,Agriculture,Urban,Leasehold,11857,4903,37,3238000,485700,8000,3731700
CASE-2026-NW-00180,Perak,Building,Urban,Leasehold,2673,1261,15,3778000,566700,8000,4352700
CASE-2026-NW-00181,Selangor,Building,Urban,Leasehold,1317,688,34,2833000,425000,8000,3266000
CASE-2026-NW-00182,Melaka,Building,Urban,Freehold,2019,794,18,2992000,448800,8000,3448800
CASE-2026-NW-00183,Kedah,Agriculture,Suburban,Leasehold,9534,2879,0,1443000,216400,8000,1667400
CASE-2026-NW-00184,Pulau Pinang,Building,Suburban,Freehold,328,238,5,910000,136500,8000,1054500
CASE-2026-NW-00185,Pulau Pinang,Building,Urban,Leasehold,2217,922,12,3697000,554600,8000,4259600
CASE-2026-NW-00186,Selangor,Agriculture,Urban,Leasehold,6254,4372,39,3463000,519400,8000,3990400
CASE-2026-NW-00187,Johor,Industry,Urban,Freehold,21687,11783,28,33518000,5027700,8000,38553700
CASE-2026-NW-00188,Johor,Industry,Suburban,Freehold,3997,2395,31,5727000,859000,8000,6594000
CASE-2026-NW-00189,Selangor,Agriculture,Urban,Freehold,14625,12784,10,10222000,1533300,8000,11763300
CASE-2026-NW-00190,Johor,Agriculture,Urban,Leasehold,5696,2155,30,1509000,226400,8000,1743400
CASE-2026-NW-00191,Kedah,Building,Urban,Leasehold,2039,1776,4,5101000,765200,8000,5874200
CASE-2026-NW-00192,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Malay Reserve,6859,5774,24,3805000,570800,8000,4383800
CASE-2026-NW-00193,Negeri Sembilan,Building,Suburban,Freehold,1968,1620,4,5675000,851200,8000,6534200
CASE-2026-NW-00194,Melaka,Agriculture,Urban,Freehold,2989,2439,38,1427000,214000,8000,1649000
CASE-2026-NW-00195,Kedah,Agriculture,Suburban,Leasehold,19908,7497,4,4243000,636400,8000,4887400
CASE-2026-NW-00196,Kedah,Building,Urban,Malay Reserve,617,561,10,1560000,234000,8000,1802000
CASE-2026-NW-00197,Johor,Industry,Suburban,Leasehold,10766,2933,30,6847000,1027000,8000,7882000
CASE-2026-NW-00198,Selangor,Agriculture,Suburban,Freehold,5099,2915,36,1971000,295600,8000,2274600
CASE-2026-NW-00199,Selangor,Building,Urban,Leasehold,252,148,30,593000,89000,8000,690000
CASE-2026-NW-00200,Kedah,Agriculture,Rural,Malay Reserve,11997,2910,14,1103000,165400,8000,1276400
CASE-2026-NW-00201,Perak,Agriculture,Urban,Freehold,18666,12863,19,7056000,1058400,8000,8122400
CASE-2026-NW-00202,Pulau Pinang,Building,Urban,Freehold,1185,448,31,1676000,251400,8000,1935400
CASE-2026-NW-00203,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Leasehold,575,486,18,1514000,227100,8000,1749100
CASE-2026-NW-00204,Kelantan,Building,Suburban,Freehold,1902,1199,8,3136000,470400,8000,3614400
CASE-2026-NW-00205,Pulau Pinang,Building,Suburban,Freehold,2695,1653,19,5889000,883400,8000,6780400
CASE-2026-NW-00206,Perak,Industry,Suburban,Leasehold,2410,1387,4,2851000,427600,8000,3286600
CASE-2026-NW-00207,Terengganu,Building,Urban,Leasehold,327,254,16,755000,113200,8000,876200
CASE-2026-NW-00208,Selangor,Building,Urban,Freehold,1035,666,11,2959000,443800,8000,3410800
CASE-2026-NW-00209,Perak,Agriculture,Urban,Freehold,16943,14652,15,8401000,1260200,8000,9669200
CASE-2026-NW-00210,Selangor,Building,Suburban,Freehold,1661,1357,30,4604000,690600,8000,5302600
CASE-2026-NW-00211,Selangor,Building,Rural,Leasehold,896,367,3,1329000,199400,8000,1536400
CASE-2026-NW-00212,Melaka,Agriculture,Suburban,Freehold,18531,4697,35,2764000,414600,8000,3186600
CASE-2026-NW-00213,Melaka,Agriculture,Urban,Leasehold,4150,1995,14,1294000,194100,8000,1496100
CASE-2026-NW-00214,Perak,Building,Urban,Freehold,1556,651,9,2056000,308400,8000,2372400
CASE-2026-NW-00215,Perak,Building,Urban,Freehold,523,139,37,402000,60300,8000,470300
CASE-2026-NW-00216,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Freehold,19435,4275,2,3846000,576900,8000,4430900
CASE-2026-NW-00217,Johor,Building,Suburban,Freehold,2105,890,12,3103000,465400,8000,3576400
CASE-2026-NW-00218,Kedah,Agriculture,Rural,Freehold,19220,14809,1,5874000,881100,8000,6763100
CASE-2026-NW-00219,Perak,Agriculture,Urban,Leasehold,3861,2104,3,1109000,166400,8000,1283400
CASE-2026-NW-00220,Johor,Agriculture,Rural,Leasehold,8306,5861,15,2922000,438300,8000,3368300
CASE-2026-NW-00221,Perak,Agriculture,Rural,Freehold,11946,9855,36,3190000,478500,8000,3676500
CASE-2026-NW-00222,Pulau Pinang,Building,Urban,Leasehold,1695,751,10,2997000,449600,8000,3454600
CASE-2026-NW-00223,Selangor,Building,Suburban,Leasehold,1581,776,33,2633000,395000,8000,3036000
CASE-2026-NW-00224,Sarawak,Building,Urban,Freehold,1855,1427,3,5118000,767700,8000,5893700
CASE-2026-NW-00225,Johor,Industry,Urban,Freehold,13951,9846,16,28135000,4220200,8000,32363200
CASE-2026-NW-00226,Selangor,Agriculture,Urban,Freehold,12856,11274,30,8965000,1344800,8000,10317800
CASE-2026-NW-00227,Perlis,Agriculture,Urban,Malay Reserve,12558,10174,2,4493000,674000,8000,5175000
CASE-2026-NW-00228,Pulau Pinang,Agriculture,Suburban,Freehold,3767,2966,38,1869000,280400,8000,2157400
CASE-2026-NW-00229,Pulau Pinang,Building,Urban,Freehold,1445,800,25,3078000,461700,8000,3547700
CASE-2026-NW-00230,Kedah,Agriculture,Urban,Leasehold,8682,4122,3,2425000,363800,8000,2796800
CASE-2026-NW-00231,Selangor,Building,Rural,Leasehold,690,314,38,917000,137600,8000,1062600
CASE-2026-NW-00232,Perlis,Agriculture,Rural,Freehold,15701,9670,5,3373000,506000,8000,3887000
CASE-2026-NW-00233,Melaka,Agriculture,Suburban,Leasehold,18324,13069,14,6210000,931500,8000,7149500
CASE-2026-NW-00234,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Leasehold,594,374,32,1589000,238400,8000,1835400
CASE-2026-NW-00235,Perak,Building,Urban,Freehold,567,495,15,1436000,215400,8000,1659400
CASE-2026-NW-00236,Melaka,Building,Rural,Leasehold,2824,783,26,1825000,273800,8000,2106800
CASE-2026-NW-00237,Pulau Pinang,Building,Urban,Freehold,1127,891,30,3480000,522000,8000,4010000
CASE-2026-NW-00238,Kelantan,Building,Suburban,Freehold,833,496,5,1305000,195800,8000,1508800
CASE-2026-NW-00239,Negeri Sembilan,Building,Urban,Freehold,1206,302,28,1007000,151000,8000,1166000
CASE-2026-NW-00240,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Leasehold,2788,1287,11,5503000,825400,8000,6336400
CASE-2026-NW-00241,Melaka,Agriculture,Rural,Freehold,4111,1292,3,692000,103800,8000,803800
CASE-2026-NW-00242,Pulau Pinang,Agriculture,Suburban,Leasehold,14391,4296,5,3605000,540800,8000,4153800
CASE-2026-NW-00243,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,1408,791,25,3196000,479400,8000,3683400
CASE-2026-NW-00244,Kelantan,Building,Urban,Leasehold,1252,427,14,1195000,179200,8000,1382200
CASE-2026-NW-00245,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,1073,288,3,1338000,200700,8000,1546700
CASE-2026-NW-00246,Melaka,Agriculture,Suburban,Leasehold,6969,4595,20,2368000,355200,8000,2731200
CASE-2026-NW-00247,Pulau Pinang,Building,Rural,Freehold,1343,955,1,3451000,517600,8000,3976600
CASE-2026-NW-00248,Pulau Pinang,Building,Rural,Leasehold,2252,579,27,1670000,250500,8000,1928500
